Station Name,Available Docks,Percent Full,Docks in Service,Latitude,Longitude,Timestamp
Franklin St & Illinois St,5,69,16,41.799568,-87.594747,5/7/2022 23:35
Franklin St & Jackson Blvd,11,39,18,41.969517,-87.654691,5/7/2022 23:35
Franklin St & Lake St,9,10,10,41.93132,-87.638742,5/7/2022 23:35
Franklin St & Monroe St,7,59,17,41.973348,-87.667855,5/7/2022 23:35
Fullerton & Monitor,4,78,18,41.967096,-87.667429,5/7/2022 23:35
Glenwood Ave & Morse Ave,10,47,19,41.92154,-87.653818,5/7/2022 23:35
Glenwood Ave & Touhy Ave,15,21,19,41.788746,-87.601334,5/7/2022 23:35
Green St & Madison St,19,10,21,41.932588,-87.636427,5/7/2022 23:35
Green St & Randolph St,5,74,19,41.946176,-87.673308,5/7/2022 23:35
Green St & Randolph St*,18,33,27,41.909668,-87.648128,5/7/2022 23:35
Greenview Ave & Diversey Pkwy,13,19,16,41.93314,-87.64776,5/7/2022 23:35
Greenview Ave & Fullerton Ave,7,53,15,41.907066,-87.667252,5/7/2022 23:35
Greenview Ave & Jarvis Ave,13,32,19,41.940775,-87.639192,5/7/2022 23:35
Greenwood Ave & 47th St,3,80,15,41.831379,-87.618034,5/7/2022 23:35
Greenwood Ave & 79th St,5,67,15,41.809855,-87.606755,5/7/2022 23:35
Greenwood Ave & 91st St,16,16,19,41.89675,-87.63089,5/7/2022 23:35
Greenwood Ave & 97th St,11,21,14,41.857611,-87.619407,5/7/2022 23:35
Hale Ave & 107th St,11,0,11,41.838198,-87.645143,5/7/2022 23:35
Halsted & 63rd - Kennedy-King Vaccination Site,10,17,12,41.929546,-87.643118,5/7/2022 23:35
Halsted St & 104th St,36,3,37,41.866095,-87.607267,5/7/2022 23:35
Halsted St & 111th St,20,13,23,41.871262,-87.673688,5/7/2022 23:35
Halsted St & 18th St,13,13,15,41.928887,-87.658971,5/7/2022 23:35
Halsted St & 21st St,36,16,43,41.96909,-87.674237,5/7/2022 23:35
Halsted St & 35th St,8,58,19,41.793242,-87.587782,5/7/2022 23:35
Halsted St & 37th St,4,73,15,41.88283,-87.661206,5/7/2022 23:35
Halsted St & 47th Pl,3,80,15,41.950687,-87.6687,5/7/2022 23:35
Halsted St & 51st St,7,50,14,41.853804,-87.695742,5/7/2022 23:35
Halsted St & 56th St,5,62,13,41.929143,-87.649077,5/7/2022 23:35
Halsted St & 59th St,11,21,14,41.895974,-87.667725,5/7/2022 23:35
Halsted St & 69th St,11,27,15,41.803038,-87.606615,5/7/2022 23:35
Halsted St & 73rd St,5,50,10,41.773518,-87.577143,5/7/2022 23:35
